citizen_id,age,gender,is_student,first_higher_education_course,school_background,marital_status,is_orphan,is_destitute,occupation_category,wet_land_acres,dry_land_acres
C000001,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000002,23,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000003,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000004,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000005,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000006,24,female,true,true,government_6_to_12,never_married,true,false,other,0.0,0.0
C000007,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000008,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000009,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000010,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000011,20,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000012,21,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000013,18,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000014,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000015,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000016,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000017,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000018,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000019,21,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000020,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000021,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000022,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000023,20,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000024,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000025,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000026,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000027,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000028,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000029,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000030,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000031,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000032,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000033,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000034,19,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000035,20,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000036,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000037,18,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000038,21,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000039,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000040,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000041,22,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000042,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000043,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000044,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000045,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000046,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000047,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000048,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000049,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000050,19,female,true,true,government_6_to_12,never_married,true,false,other,0.0,0.0
C000051,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000052,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000053,19,female,true,true,government_6_to_12,never_married,true,false,other,0.0,0.0
C000054,19,female,true,true,government_6_to_12,never_married,true,true,other,0.0,0.0
C000055,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000056,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000057,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000058,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000059,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000060,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000061,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000062,22,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000063,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000064,23,female,true,true,government_6_to_12,never_married,true,false,other,0.0,0.0
C000065,18,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000066,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000067,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000068,21,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000069,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000070,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000071,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000072,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000073,18,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000074,20,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000075,18,female,true,true,government_6_to_12,married,false,true,other,0.0,0.0
C000076,21,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000077,22,female,true,true,government_6_to_12,never_married,true,false,other,0.0,0.0
C000078,24,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000079,19,female,true,true,government_6_to_12,never_married,true,false,other,0.0,0.0
C000080,21,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000081,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000082,24,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000083,18,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000084,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000085,22,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000086,21,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000087,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000088,19,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000089,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000090,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000091,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000092,24,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000093,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000094,18,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000095,20,female,true,true,government_6_to_12,widow,false,false,other,0.0,0.0
C000096,20,female,true,true,government_6_to_12,married,true,false,other,0.0,0.0
C000097,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000098,21,female,true,true,government_6_to_12,never_married,true,false,other,0.0,0.0
C000099,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000100,20,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0
C000101,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000102,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000103,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000104,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000105,24,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000106,22,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000107,21,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000108,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000109,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000110,18,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000111,18,female,true,true,government_6_to_12,married,false,true,other,0.0,0.0
C000112,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000113,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000114,20,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000115,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000116,24,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000117,20,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000118,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000119,24,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000120,22,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000121,21,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0
C000122,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
C000123,23,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0
