feature,coefficient,abs_coefficient
first_higher_education_course_True,2.5161769141895163,2.5161769141895163
first_higher_education_course_False,-2.268189151867778,2.268189151867778
scheme_id_TN-REV-001,2.009916723655427,2.009916723655427
is_student_False,1.5532869430893264,1.5532869430893264
is_student_True,-1.3052991807675807,1.3052991807675807
marital_status_widow_remarrying,1.1806095200239537,1.1806095200239537
occupation_category_other,-0.9738498818332717,0.9738498818332717
is_orphan_True,0.8546301388772619,0.8546301388772619
marital_status_widow,-0.6663845323089375,0.6663845323089375
gender_female,0.6101570412763161,0.6101570412763161
is_orphan_False,-0.6066423765555213,0.6066423765555213
occupation_category_small_marginal_farmer,0.5851056272160774,0.5851056272160774
scheme_id_TN-SW-004,-0.5445051987512194,0.5445051987512194
marital_status_married,-0.46056769985990215,0.46056769985990215
scheme_id_TN-REV-002,-0.4201299471354271,0.4201299471354271
scheme_id_TN-SW-001,-0.3950452966062588,0.3950452966062588
scheme_id_TN-SW-006,-0.3445344548720509,0.3445344548720509
is_destitute_True,0.33051362367681547,0.33051362367681547
gender_transgender,-0.3146454207304996,0.3146454207304996
occupation_category_agricultural_labourer,0.2384075640150915,0.2384075640150915
occupation_category_inland_fishing,0.21065478480608266,0.21065478480608266
marital_status_never_married,0.19433047446663404,0.19433047446663404
occupation_category_plantation_labourer,0.18766966811773503,0.18766966811773503
age,0.16558935501167713,0.16558935501167713
dry_land_acres,-0.15920622535814075,0.15920622535814075
school_background_government_6_to_12,0.13626349329306134,0.13626349329306134
school_background_government_or_aided_tamil_medium_6_to_12,0.1313547759253752,0.1313547759253752
wet_land_acres,-0.12417172869133851,0.12417172869133851
is_destitute_False,-0.08252586135511318,0.08252586135511318
scheme_id_TN-SW-002,-0.05771406396882005,0.05771406396882005
gender_male,-0.04752385822405217,0.04752385822405217
school_background_other,-0.01963050689669039,0.01963050689669039
